word,prob,freq,plural
smite,34.95570609692548,,
items,34.95570609692548,,Plural
toads,34.95570609692548,,Plural
mites,34.95570609692548,,Plural
lards,34.94180997047073,,Plural
darts,34.93833593885704,,Plural
shone,34.93486190724336,,
hones,34.93486190724336,,Plural
smelt,34.93486190724335,,
melts,34.93486190724335,,Plural
weirs,34.910543685947545,,Plural
wiser,34.910543685947545,,
wires,34.910543685947545,,Plural
roams,34.91054368594754,,Plural
owest,34.90359562272017,,
hames,34.90359562272016,,Plural
shame,34.90359562272016,25764.0,
trews,34.88622546465173,,Plural
strew,34.88622546465173,,
wrest,34.88622546465173,,
aired,34.87927740142435,,
aider,34.87927740142435,,
roils,34.8653812749696,,Plural
torsi,34.861907243355915,,
trios,34.861907243355915,,Plural
riots,34.861907243355915,,Plural
tiros,34.861907243355915,,Plural
alder,34.85843321174222,,
trade,34.854959180128546,94509.0,
dater,34.854959180128546,,
tared,34.854959180128546,,
tread,34.854959180128546,,
rated,34.854959180128546,,
cages,34.85495918012854,,Plural
heist,34.85495918012854,,
pages,34.82369289560535,,Plural
gapes,34.82369289560535,,Plural
hoars,34.8097967691506,,Plural
dyers,34.80632273753691,,Plural
oiler,34.7820045162411,,
curse,34.75768629494528,,
cures,34.75768629494528,,Plural
cruse,34.75768629494528,,
zeros,34.74726420010422,,Plural
lunes,34.74726420010421,,Plural
unset,34.74379016849053,,
tunes,34.74379016849053,,Plural
purse,34.726420010422096,13998.0,
super,34.726420010422096,44696.0,
sprue,34.726420010422096,,
naves,34.71599791558103,,Plural
vanes,34.71599791558103,,Plural
demos,34.674309536216775,,Plural
modes,34.674309536216775,,Plural
domes,34.674309536216775,,Plural
lases,34.65693937814834,,Plural
sales,34.65693937814834,71601.0,Plural
easel,34.65693937814834,,
seals,34.65693937814834,,Plural
lease,34.65693937814834,,
teats,34.65346534653465,,Plural
tease,34.65346534653465,,
sates,34.65346534653465,,Plural
state,34.65346534653465,638012.0,
taste,34.65346534653465,39481.0,
easts,34.65346534653465,,Plural
asset,34.65346534653465,39563.0,
seats,34.65346534653465,,Plural
autos,34.636095188466214,,Plural
sutra,34.61872503039777,,
bones,34.59093277748828,,Plural
hosed,34.57356261941983,,
